Date,BTC_USD,ETH_USD,XRP_USD,SOL_USD,BNB_USD,NASDAQ_EUA_lag_7,NASDAQ_EUA_lag_14,NASDAQ_EUA_lag_21,NASDAQ_EUA_lag_28,NYSE_EUA_lag_7,NYSE_EUA_lag_14,NYSE_EUA_lag_21,NYSE_EUA_lag_28,Ibovespa_BR_lag_7,Ibovespa_BR_lag_14,Ibovespa_BR_lag_21,Ibovespa_BR_lag_28,Shanghai_SSE_China_lag_7,Shanghai_SSE_China_lag_14,Shanghai_SSE_China_lag_21,Shanghai_SSE_China_lag_28,HangSeng_China_lag_7,HangSeng_China_lag_14,HangSeng_China_lag_21,HangSeng_China_lag_28,Shenzhen_China_lag_7,Shenzhen_China_lag_14,Shenzhen_China_lag_21,Shenzhen_China_lag_28,Euronext_Europa_lag_7,Euronext_Europa_lag_14,Euronext_Europa_lag_21,Euronext_Europa_lag_28,LondonStock_ReinoUnido_lag_7,LondonStock_ReinoUnido_lag_14,LondonStock_ReinoUnido_lag_21,LondonStock_ReinoUnido_lag_28,DAX_Alemanha_lag_7,DAX_Alemanha_lag_14,DAX_Alemanha_lag_21,DAX_Alemanha_lag_28,Nikkei_Japao_lag_7,Nikkei_Japao_lag_14,Nikkei_Japao_lag_21,Nikkei_Japao_lag_28,Bombaim_India_lag_7,Bombaim_India_lag_14,Bombaim_India_lag_21,Bombaim_India_lag_28,Milao_Italia_lag_7,Milao_Italia_lag_14,Milao_Italia_lag_21,Milao_Italia_lag_28,JPY_USD_lag_7,JPY_USD_lag_14,JPY_USD_lag_21,JPY_USD_lag_28,EUR_USD_lag_7,EUR_USD_lag_14,EUR_USD_lag_21,EUR_USD_lag_28,GBP_USD_lag_7,GBP_USD_lag_14,GBP_USD_lag_21,GBP_USD_lag_28,CNY_USD_lag_7,CNY_USD_lag_14,CNY_USD_lag_21,CNY_USD_lag_28,BRL_USD_lag_7,BRL_USD_lag_14,BRL_USD_lag_21,BRL_USD_lag_28,INR_USD_lag_7,INR_USD_lag_14,INR_USD_lag_21,INR_USD_lag_28,NASDAQ_EUA_MM_10,NASDAQ_EUA_MM_20,NASDAQ_EUA_MM_30,NYSE_EUA_MM_10,NYSE_EUA_MM_20,NYSE_EUA_MM_30,Ibovespa_BR_MM_10,Ibovespa_BR_MM_20,Ibovespa_BR_MM_30,Shanghai_SSE_China_MM_10,Shanghai_SSE_China_MM_20,Shanghai_SSE_China_MM_30,HangSeng_China_MM_10,HangSeng_China_MM_20,HangSeng_China_MM_30,Shenzhen_China_MM_10,Shenzhen_China_MM_20,Shenzhen_China_MM_30,Euronext_Europa_MM_10,Euronext_Europa_MM_20,Euronext_Europa_MM_30,LondonStock_ReinoUnido_MM_10,LondonStock_ReinoUnido_MM_20,LondonStock_ReinoUnido_MM_30,DAX_Alemanha_MM_10,DAX_Alemanha_MM_20,DAX_Alemanha_MM_30,Nikkei_Japao_MM_10,Nikkei_Japao_MM_20,Nikkei_Japao_MM_30,Bombaim_India_MM_10,Bombaim_India_MM_20,Bombaim_India_MM_30,Milao_Italia_MM_10,Milao_Italia_MM_20,Milao_Italia_MM_30,JPY_USD_MM_10,JPY_USD_MM_20,JPY_USD_MM_30,EUR_USD_MM_10,EUR_USD_MM_20,EUR_USD_MM_30,GBP_USD_MM_10,GBP_USD_MM_20,GBP_USD_MM_30,CNY_USD_MM_10,CNY_USD_MM_20,CNY_USD_MM_30,BRL_USD_MM_10,BRL_USD_MM_20,BRL_USD_MM_30,INR_USD_MM_10,INR_USD_MM_20,INR_USD_MM_30
2022-06-01,29799.080078125,1823.5693359375,0.39808499813079834,40.26966857910156,300.5040588378906,11434.740234375,11418.150390625,11364.240234375,12964.8603515625,15412.1904296875,15044.51953125,14902.1396484375,16119.6103515625,110580.0,106247.0,104397.0,108344.0,3107.4599609375,3085.97998046875,3058.699951171875,3047.06005859375,20171.26953125,20644.279296875,19824.5703125,20869.51953125,11143.1796875,11208.080078125,11109.48046875,11021.4404296875,1206.6800537109375,1214.300048828125,1195.8499755859375,1226.18994140625,7323.2001953125,7223.23779296875,7217.240234375,7489.13623046875,24.55470085144043,23.944303512573242,23.555864334106445,24.933889389038086,26677.80078125,26911.19921875,26213.640625,26818.529296875,53749.26171875,54208.53125,54088.390625,55669.03125,24250.0,24086.0,23724.0,23902.0,0.007888363674283028,0.0077247521840035915,0.0076715946197509766,0.007685449905693531,0.9318796396255493,0.9481368660926819,0.9496676325798035,0.9500284790992737,1.2542959451675415,1.2484394311904907,1.2309207916259766,1.2500405311584473,0.15030813217163086,0.14845165610313416,0.1485089659690857,0.15134546160697937,0.2075636088848114,0.20250704884529114,0.19488239288330078,0.2016901671886444,0.012906757183372974,0.012924505397677422,0.012941398657858372,0.013077485375106335,11475.22802734375,11634.86904296875,11931.161002604167,15217.0591796875,15227.96005859375,15399.490755208333,108724.5,106993.35,107259.7,3111.535009765625,3076.327014160156,3056.5616861979165,20422.283984375,20138.27958984375,20334.840169270832,11280.2310546875,11129.70205078125,11041.917447916667,1206.568017578125,1200.5799926757813,1211.4739990234375,7258.024853515625,7242.130712890625,7437.775520833334,24.42577705383301,24.092554664611818,24.159853108723958,26716.5388671875,26595.39111328125,26655.342708333334,53936.272265625,53905.2271484375,54876.91510416667,24103.4,23839.95,23896.133333333335,0.007802213728427887,0.007753146975301206,0.0077424127918978534,0.9472946643829345,0.9503505945205688,0.9492139697074891,1.2441457748413085,1.2366716682910919,1.242608133951823,0.1488300547003746,0.14885647222399712,0.14975925385951996,0.20278921872377395,0.19946056008338928,0.2002072165409724,0.012893783953040838,0.012932397285476327,0.012978484077999989
2022-06-02,30467.48828125,1834.1505126953125,0.4053019881248474,40.8913459777832,308.1017761230469,11740.650390625,11388.5,11370.9599609375,12317.6904296875,15664.0,15035.8701171875,14931.099609375,15652.6103515625,111890.0,107005.0,105688.0,105304.0,3123.110107421875,3096.9599609375,3054.989990234375,3067.760009765625,20116.19921875,20120.6796875,19380.33984375,20793.400390625,11206.8203125,11250.0595703125,11094.8701171875,11046.3798828125,1224.97998046875,1195.8699951171875,1182.8499755859375,1219.9100341796875,7387.17529296875,7163.2607421875,7217.240234375,7455.14990234375,25.155855178833008,24.309616088867188,23.44488525390625,24.129270553588867,26604.83984375,26402.83984375,25748.720703125,26818.529296875,54252.53125,52792.23046875,52930.30859375,55702.23046875,24547.0,24065.0,23566.0,23760.0,0.007864602841436863,0.007817752659320831,0.007702082861214876,0.007738559972494841,0.9358038306236267,0.9549274444580078,0.9513118267059326,0.9415221214294434,1.258610486984253,1.2345831394195557,1.2234212160110474,1.261813759803772,0.14943885803222656,0.14807356894016266,0.148794025182724,0.15134316682815552,0.20734842121601105,0.2013085037469864,0.19477033615112305,0.20330162346363068,0.012903675436973572,0.012850167229771614,0.012916825711727142,0.013157617300748825,11483.0140625,11614.6685546875,11906.1580078125,15257.4771484375,15232.832080078126,15398.482747395834,109090.2,107331.1,107382.26666666666,3116.4710205078127,3082.4045166015626,3064.451025390625,20438.8828125,20143.99150390625,20340.889778645833,11291.57607421875,11149.549072265625,11075.256803385417,1208.0240112304687,1201.8379943847656,1211.5556640625,7282.41552734375,7246.828930664063,7414.67470703125,24.533984565734862,24.159143733978272,24.19604555765788,26722.3177734375,26575.455078125,26652.167057291666,54064.14140625,53876.0748046875,54773.44583333333,24154.8,23893.5,23924.966666666667,0.007816067570820451,0.007762735593132675,0.007743627671152354,0.9447202742099762,0.9496979534626007,0.9492925862471263,1.2474217534065246,1.2377814531326294,1.2420951843261718,0.14904206097126008,0.14881481602787971,0.1496576209863027,0.20375457257032395,0.1998836688697338,0.20028290649255118,0.012893600761890412,0.012924343207851052,0.012973035033792258
2022-06-03,29704.390625,1775.07861328125,0.3907659947872162,38.259220123291016,298.39788818359375,12131.1298828125,11354.6201171875,11805.0,12144.66015625,15942.6201171875,15080.98046875,15257.3603515625,15566.5595703125,111942.0,108488.0,106924.0,105135.0,3130.239990234375,3146.570068359375,3084.280029296875,3001.56005859375,20697.359375,20717.240234375,19898.76953125,20001.9609375,11193.58984375,11454.5302734375,11159.7900390625,10809.8798828125,1242.3699951171875,1200.489990234375,1211.739990234375,1199.8199462890625,7555.111328125,7267.2216796875,7217.240234375,7293.2109375,25.581283569335938,24.413198471069336,24.036785125732422,23.824073791503906,26781.6796875,26739.029296875,26427.650390625,27003.560546875,54884.66015625,54326.390625,52793.62109375,54835.578125,24636.0,24095.0,24048.0,23476.0,0.007871226407587528,0.007822766900062561,0.007776775397360325,0.007672830484807491,0.9317753911018372,0.9453582167625427,0.963493287563324,0.9488566517829895,1.261734127998352,1.2462146282196045,1.220613718032837,1.2364147901535034,0.1484163999557495,0.14898467063903809,0.14736437797546387,0.15027198195457458,0.20972275733947754,0.20283976197242737,0.1948026716709137,0.19888624548912048,0.012881584465503693,0.012916375882923603,0.012912589125335217,0.013064756989479065,11497.67509765625,11613.992041015625,11894.23134765625,15297.54814453125,15251.635107421875,15405.17607421875,109405.5,107671.45,107468.7,3120.1250244140624,3088.838513183594,3070.1830240885415,20448.366796875,20178.76142578125,20365.923111979166,11287.91904296875,11168.7345703125,11093.27978515625,1209.6070068359375,1203.9654968261718,1212.04599609375,7305.806591796875,7259.9239501953125,7401.303141276042,24.621845626831053,24.247004222869872,24.249994977315268,26734.5107421875,26564.36103515625,26665.3353515625,54120.760546875,53878.52890625,54708.954817708334,24188.2,23951.5,23951.833333333332,0.007827533455565572,0.007772655389271676,0.007744083274155855,0.9420967757701874,0.9488438904285431,0.9490325689315796,1.250346839427948,1.2390474200248718,1.242206327120463,0.1491455242037773,0.14872203692793845,0.14952066590388616,0.20496283024549483,0.20042549446225166,0.20060406376918158,0.012896501366049052,0.012915184581652283,0.012968360042820374
2022-06-04,29832.9140625,1801.6094970703125,0.3923090100288391,38.93144607543945,301.6311340332031,12131.1298828125,11354.6201171875,11805.0,12144.66015625,15942.6201171875,15080.98046875,15257.3603515625,15566.5595703125,111942.0,108488.0,106924.0,105135.0,3130.239990234375,3146.570068359375,3084.280029296875,3001.56005859375,20697.359375,20717.240234375,19898.76953125,20001.9609375,11193.58984375,11454.5302734375,11159.7900390625,10809.8798828125,1242.3699951171875,1200.489990234375,1211.739990234375,1199.8199462890625,7555.111328125,7267.2216796875,7217.240234375,7293.2109375,25.581283569335938,24.413198471069336,24.036785125732422,23.824073791503906,26781.6796875,26739.029296875,26427.650390625,27003.560546875,54884.66015625,54326.390625,52793.62109375,54835.578125,24636.0,24095.0,24048.0,23476.0,0.007871226407587528,0.007822766900062561,0.007776775397360325,0.007672830484807491,0.9317753911018372,0.9453582167625427,0.963493287563324,0.9488566517829895,1.261734127998352,1.2462146282196045,1.220613718032837,1.2364147901535034,0.1484163999557495,0.14898467063903809,0.14736437797546387,0.15027198195457458,0.20972275733947754,0.20283976197242737,0.1948026716709137,0.19888624548912048,0.012881584465503693,0.012916375882923603,0.012912589125335217,0.013064756989479065,11568.973046875,11613.31552734375,11869.551334635416,15387.358203125,15270.438134765625,15402.174088541668,109975.0,108011.8,107536.13333333333,3124.551025390625,3095.272509765625,3075.341691080729,20453.6748046875,20213.53134765625,20379.962760416667,11286.47001953125,11187.920068359375,11112.102115885416,1212.4140014648438,1206.092999267578,1212.1973307291667,7338.9939453125,7273.018969726562,7390.840478515625,24.785543632507324,24.334864711761476,24.286988894144695,26721.5587890625,26553.2669921875,26663.127994791666,54188.3734375,53880.9830078125,54621.074869791664,24243.2,24009.5,23971.166666666668,0.007842180877923965,0.007782575185410678,0.007746839957932631,0.9404606282711029,0.9479898273944855,0.9485102415084838,1.2516763091087342,1.2403133869171143,1.2424579381942749,0.14914199858903884,0.1486292578279972,0.14938619136810302,0.20568440109491348,0.20096732005476953,0.2008792668581009,0.012892209272831679,0.012906025955453515,0.012961857921133439
2022-06-05,29906.662109375,1805.2049560546875,0.3953799903392792,38.480533599853516,298.9347229003906,12131.1298828125,11354.6201171875,11805.0,12144.66015625,15942.6201171875,15080.98046875,15257.3603515625,15566.5595703125,111942.0,108488.0,106924.0,105135.0,3130.239990234375,3146.570068359375,3084.280029296875,3001.56005859375,20697.359375,20717.240234375,19898.76953125,20001.9609375,11193.58984375,11454.5302734375,11159.7900390625,10809.8798828125,1242.3699951171875,1200.489990234375,1211.739990234375,1199.8199462890625,7555.111328125,7267.2216796875,7217.240234375,7293.2109375,25.581283569335938,24.413198471069336,24.036785125732422,23.824073791503906,26781.6796875,26739.029296875,26427.650390625,27003.560546875,54884.66015625,54326.390625,52793.62109375,54835.578125,24636.0,24095.0,24048.0,23476.0,0.007871226407587528,0.007822766900062561,0.007776775397360325,0.007672830484807491,0.9317753911018372,0.9453582167625427,0.963493287563324,0.9488566517829895,1.261734127998352,1.2462146282196045,1.220613718032837,1.2364147901535034,0.1484163999557495,0.14898467063903809,0.14736437797546387,0.15027198195457458,0.20972275733947754,0.20283976197242737,0.1948026716709137,0.19888624548912048,0.012881584465503693,0.012916375882923603,0.012912589125335217,0.013064756989479065,11643.23603515625,11638.709521484376,11862.76767578125,15478.033203125,15314.675634765625,15413.08642578125,110468.7,108446.4,107671.66666666667,3127.8790283203125,3101.5775146484375,3078.11435546875,20511.3427734375,20248.30126953125,20366.895052083335,11280.823046875,11209.31806640625,11117.8404296875,1217.0640014648438,1210.0390014648438,1212.078995768229,7378.17900390625,7298.4093017578125,7378.911735026041,24.9127103805542,24.449083518981933,24.330765024820963,26759.4427734375,26576.383984375,26660.920638020834,54397.61640625,53901.682421875,54548.534505208336,24300.3,24099.65,23983.966666666667,0.007847528252750636,0.007793724373914302,0.007754393604894479,0.9381454229354859,0.9471015304327011,0.9478294352690378,1.2543914079666139,1.2417668104171753,1.242969560623169,0.14917628169059755,0.1485488772392273,0.1493021860718727,0.2065258264541626,0.20161171332001687,0.20111938069264093,0.012895350996404886,0.01290039587765932,0.012956020546456178
2022-06-06,31370.671875,1859.2896728515625,0.4030109941959381,42.43313217163086,295.3960266113281,12131.1298828125,11535.26953125,11662.7900390625,11623.25,15942.6201171875,15342.9599609375,15259.8203125,15057.8701171875,111032.0,110346.0,108233.0,103250.0,3149.06005859375,3146.860107421875,3073.75,3004.139892578125,21123.9296875,20470.060546875,19950.2109375,20001.9609375,11310.2802734375,11447.9501953125,11093.3701171875,10765.6298828125,1251.2099609375,1215.31005859375,1210.4200439453125,1163.449951171875,7585.10009765625,7301.2080078125,7143.2685546875,7047.3046875,25.581283569335938,24.693429946899414,24.073780059814453,23.296907424926758,27369.4296875,27001.51953125,26547.05078125,26319.33984375,55925.73828125,54288.609375,52973.83984375,54470.671875,24809.0,24137.0,24033.0,22833.0,0.007856384851038456,0.007818425074219704,0.007726064417511225,0.007648242637515068,0.9318970441818237,0.9461542963981628,0.9615477323532104,0.9495413303375244,1.262833595275879,1.2504063844680786,1.2258507013320923,1.2326656579971313,0.1493072211742401,0.14943215250968933,0.1473187953233719,0.15002401173114777,0.21143437922000885,0.20490963757038116,0.19769488275051117,0.19683489203453064,0.012871338054537773,0.012850431725382805,0.01290550734847784,0.012994186021387577,11720.88701171875,11658.38251953125,11855.984016927083,15564.19716796875,15360.51962890625,15423.998763020832,110723.1,108842.5,107776.86666666667,3128.12802734375,3107.2385131835936,3081.51435546875,20552.01171875,20322.81328125,20368.046354166665,11266.398046875,11229.195068359375,11127.468424479166,1222.1359985351562,1214.145001220703,1212.2553263346354,7409.966845703125,7315.202954101563,7367.9826171875,25.02951889038086,24.54249324798584,24.374541155497234,26822.4828125,26636.50048828125,26678.304947916666,54557.551171875,53979.7267578125,54510.69674479167,24371.7,24186.6,24002.533333333333,0.007850890047848225,0.00780304039362818,0.0077614525333046915,0.936799305677414,0.9463716506958008,0.9471526841322581,1.2560533046722413,1.2432143688201904,1.2435178319613138,0.14920853674411774,0.14858459755778314,0.14924787481625876,0.20738528817892074,0.20249520018696784,0.20141654858986538,0.012890847213566304,0.012897679908201098,0.01294984162474672
2022-06-07,31155.478515625,1814.04833984375,0.4077019989490509,39.43757247924805,290.34112548828125,12081.3896484375,11264.4501953125,11984.51953125,11737.669921875,15827.0498046875,15290.3798828125,15541.91015625,15025.740234375,111351.0,110581.0,108789.0,103110.0,3186.429931640625,3070.929931640625,3093.699951171875,3035.840087890625,21415.19921875,20112.099609375,20602.51953125,19633.689453125,11527.6201171875,11065.919921875,11230.16015625,10912.740234375,1242.4200439453125,1195.0899658203125,1226.5400390625,1169.0899658203125,7399.1708984375,7303.20751953125,7321.20068359375,7249.22705078125,25.38706398010254,24.73967170715332,24.702672958374023,23.713088989257812,27279.80078125,26748.140625,26659.75,26167.099609375,55566.41015625,54052.609375,54318.46875,54364.8515625,24505.0,23876.0,24302.0,23070.0,0.007825706154108047,0.00782191101461649,0.007756567560136318,0.007670064456760883,0.9282379746437073,0.9362156391143799,0.9580103754997253,0.9464946389198303,1.2647020816802979,1.256754994392395,1.2324832677841187,1.2338824272155762,0.15014338493347168,0.1503804624080658,0.1473817676305771,0.14859281480312347,0.21041999757289886,0.20774903893470764,0.19764018058776855,0.19376464188098907,0.012899747118353844,0.012898764573037624,0.012852578423917294,0.012925657443702221,11793.56396484375,11694.239990234375,11847.542350260417,15638.8041015625,15406.76513671875,15431.058756510416,111009.4,109190.2,107892.7,3132.114013671875,3113.6250122070314,3086.160017903646,20621.8076171875,20402.3447265625,20378.906640625,11273.70703125,11250.10205078125,11144.341080729168,1226.32900390625,1216.4735046386718,1212.1386596679688,7423.161767578125,7324.299487304687,7350.855859375,25.12690544128418,24.634053230285645,24.411843299865723,26876.5599609375,26689.80849609375,26692.701627604165,54681.553125,54053.627734375,54460.88138020833,24412.7,24225.65,24010.966666666667,0.007851183973252773,0.007810745970346034,0.00776748883848389,0.9350872814655304,0.945300167798996,0.9463539640108745,1.2579020500183105,1.2449034333229065,1.2441283861796062,0.1493244081735611,0.14866631850600243,0.1492214356859525,0.20814331173896788,0.20327208042144776,0.20167990376551945,0.012889184337109328,0.012895597331225871,0.012944609671831132
2022-06-08,30214.35546875,1793.572265625,0.40064799785614014,38.84336853027344,288.6160888671875,11994.4599609375,11434.740234375,11418.150390625,11364.240234375,15709.6103515625,15412.1904296875,15044.51953125,14902.1396484375,111360.0,110580.0,106247.0,104397.0,3182.159912109375,3107.4599609375,3085.97998046875,3058.699951171875,21294.939453125,20171.26953125,20644.279296875,19824.5703125,11551.26953125,11143.1796875,11208.080078125,11109.48046875,1229.02001953125,1206.6800537109375,1214.300048828125,1195.8499755859375,7141.26953125,7323.2001953125,7223.23779296875,7217.240234375,25.266834259033203,24.55470085144043,23.944303512573242,23.555864334106445,27457.890625,26677.80078125,26911.19921875,26213.640625,55381.171875,53749.26171875,54208.53125,54088.390625,24284.0,24250.0,24086.0,23724.0,0.007767835631966591,0.007888363674283028,0.0077247521840035915,0.0076715946197509766,0.9316626191139221,0.9318796396255493,0.9481368660926819,0.9496676325798035,1.2608909606933594,1.2542959451675415,1.2484394311904907,1.2309207916259766,0.1498868316411972,0.15030813217163086,0.14845165610313416,0.1485089659690857,0.21139861643314362,0.2075636088848114,0.20250704884529114,0.19488239288330078,0.012886764481663704,0.012906757183372974,0.012924505397677422,0.012941398657858372,11857.54794921875,11725.414990234374,11829.490364583333,15701.66708984375,15445.690673828125,15434.403092447918,111296.6,109473.8,108050.06666666667,3135.672998046875,3119.983508300781,3090.6633463541666,20679.5775390625,20498.07470703125,20385.758268229165,11283.38095703125,11272.922021484375,11162.00205078125,1229.1820068359375,1218.7820068359374,1212.3349934895834,7410.566552734375,7320.500952148437,7325.132389322916,25.212269020080566,24.725150680541994,24.446679178873698,26948.44609375,26775.2669921875,26714.013671875,54787.03125,54176.1708984375,54407.72083333333,24431.6,24261.55,24025.2,0.007845690846443177,0.007814033608883619,0.007770028136049708,0.9337177217006684,0.9443177074193955,0.9457697212696076,1.259369683265686,1.246776920557022,1.244245179494222,0.149414624273777,0.14872095882892608,0.14917289117972057,0.2089991971850395,0.2041034944355488,0.20202137033144632,0.012886223196983338,0.0128940942697227,0.012938570169111093
2022-06-09,30111.998046875,1789.8260498046875,0.4003239870071411,39.97260665893555,289.9196472167969,12316.900390625,11740.650390625,11388.5,11370.9599609375,15960.5302734375,15664.0,15035.8701171875,14931.099609375,112393.0,111890.0,107005.0,105688.0,3195.4599609375,3123.110107421875,3096.9599609375,3054.989990234375,21082.130859375,20116.19921875,20120.6796875,19380.33984375,11628.3095703125,11206.8203125,11250.0595703125,11094.8701171875,1237.52001953125,1224.97998046875,1195.8699951171875,1182.8499755859375,7141.26953125,7387.17529296875,7163.2607421875,7217.240234375,25.80324363708496,25.155855178833008,24.309616088867188,23.44488525390625,27413.880859375,26604.83984375,26402.83984375,25748.720703125,55818.109375,54252.53125,52792.23046875,52930.30859375,24427.0,24547.0,24065.0,23566.0,0.007685096003115177,0.007864602841436863,0.007817752659320831,0.007702082861214876,0.9389318823814392,0.9358038306236267,0.9549274444580078,0.9513118267059326,1.2483147382736206,1.258610486984253,1.2345831394195557,1.2234212160110474,0.14958414435386658,0.14943885803222656,0.14807356894016266,0.148794025182724,0.20766276121139526,0.20734842121601105,0.2013085037469864,0.19477033615112305,0.012889239005744457,0.012903675436973572,0.012850167229771614,0.012916825711727142,11935.71103515625,11751.010009765625,11821.26171875,15763.42412109375,15480.849169921876,15442.103092447916,111501.3,109747.25,108245.56666666667,3140.5329833984374,3125.5425048828124,3095.610009765625,20740.7845703125,20557.2427734375,20385.099609375,11301.41689453125,11296.347998046875,11182.231022135416,1231.4030029296875,1220.0710083007812,1212.3319946289062,7394.572705078125,7316.702416992188,7303.540657552084,25.323250389099123,24.813473606109618,24.495079485575356,26989.6822265625,26824.578515625,26733.858723958332,54939.98125,54327.3953125,54369.12486979167,24460.6,24280.5,24031.366666666665,0.007832357939332724,0.007809449639171362,0.00777000846962134,0.9329954802989959,0.9430896371603013,0.9453474005063375,1.2591605186462402,1.2481619715690613,1.2441947301228842,0.14942982345819472,0.14883194714784623,0.14911425709724427,0.20927450954914092,0.20474649891257285,0.2023878479997317,0.012890103925019502,0.012892926763743161,0.012932618862638872
2022-06-10,29083.8046875,1665.042236328125,0.38173601031303406,37.08976745605469,286.04669189453125,12012.73046875,12131.1298828125,11354.6201171875,11805.0,15797.169921875,15942.6201171875,15080.98046875,15257.3603515625,111102.0,111942.0,108488.0,106924.0,3195.4599609375,3130.239990234375,3146.570068359375,3084.280029296875,21082.130859375,20697.359375,20717.240234375,19898.76953125,11628.3095703125,11193.58984375,11454.5302734375,11159.7900390625,1235.18994140625,1242.3699951171875,1200.489990234375,1211.739990234375,7141.26953125,7555.111328125,7267.2216796875,7217.240234375,25.585908889770508,25.581283569335938,24.413198471069336,24.036785125732422,27761.5703125,26781.6796875,26739.029296875,26427.650390625,55769.23046875,54884.66015625,54326.390625,52793.62109375,24167.0,24636.0,24095.0,24048.0,0.007697162684053183,0.007871226407587528,0.007822766900062561,0.007776775397360325,0.9301979541778564,0.9317753911018372,0.9453582167625427,0.963493287563324,1.2579249143600464,1.261734127998352,1.2462146282196045,1.220613718032837,0.15016818046569824,0.1484163999557495,0.14898467063903809,0.14736437797546387,0.20852012932300568,0.20972275733947754,0.20283976197242737,0.1948026716709137,0.012926493771374226,0.012881584465503693,0.012916375882923603,0.012912589125335217,12010.5390625,11761.396533203126,11789.524055989583,15814.103125,15507.8396484375,15431.355078125,111553.4,109956.15,108337.5,3152.985986328125,3131.1015014648438,3100.556673177083,20837.7876953125,20616.41083984375,20392.186653645833,11357.655859375,11319.773974609376,11202.459993489583,1235.4130004882813,1221.243505859375,1212.6319946289063,7378.37890625,7312.903881835938,7291.945100911458,25.40787410736084,24.890929794311525,24.516813468933105,27091.0251953125,26891.27451171875,26765.293424479165,55111.643359375,54476.17578125,54372.46484375,24489.7,24286.45,24040.2,0.007819883106276394,0.007805469003506005,0.007770398895566662,0.9323937118053436,0.9414248704910279,0.9446863830089569,1.2592775106430054,1.2500275313854217,1.2444575428962708,0.14940859526395797,0.14897213727235795,0.1490750143925349,0.20935161858797074,0.20543237179517745,0.2026155134042104,0.012892876844853162,0.012893621996045112,0.012927585809181134
