,Y,base,X_selecionados,treino_R2,treino_R2Adj,treino_AIC,treino_BIC,teste_Error,teste_R2,teste_RMSE,teste_RMSE%,Order
2024_06_01,BTC_USD,all_nasdaq_lags_2022,"['NASDAQ_EUA_lag_7', 'NASDAQ_EUA_lag_50']",0.8364704602417865,0.8360212032644287,14841.057048790073,14854.840289169322,-1911.237111,0.5834595542256151,10621.875019007124,13.640491367580884,1
2025_01_01,BTC_USD,all_lags_2022,"['NASDAQ_EUA_lag_7', 'NYSE_EUA_lag_50', 'GBP_USD_lag_35', 'Shanghai_SSE_China_lag_11', 'HangSeng_China_lag_11']",0.9346252414064896,0.9342771330007734,19033.17022,19062.277333179565,-4318.663932,0.3155723872730297,6116.3030969191805,6.549237423709473,1
2025_03_01,BTC_USD,all_lags_2022,"['NASDAQ_EUA_lag_7', 'NYSE_EUA_lag_50', 'GBP_USD_lag_35']",0.9392097577693705,0.9390272044893987,20386.10484135596,20405.747844507805,1633.2299925571724,-0.929785708,4242.825678,4.988782776912686,1
2024_12,BTC_USD,all_lags_mms_2022,"['NASDAQ_EUA_lag_7', 'NYSE_EUA_MM_30', 'GBP_USD_MM_30']",0.9127491874458015,0.912461547,18468.470448989363,18487.74177127518,-7475.030714,-1.032649506,9889.298572209085,10.450443745361992,1
2024_06_01,ETH_USD,all_lags_2022,"['Nikkei_Japao_lag_7', 'CNY_USD_lag_8', 'BRL_USD_lag_24', 'Milao_Italia_lag_7', 'GBP_USD_lag_21', 'CNY_USD_lag_21']",0.9135200819259093,0.9128033975219804,9818.281972344357,9850.442866562606,532.8103479339429,-1.258287413,823.0471682200571,28.138815304909937,2
2025_01_01,ETH_USD,all_lags_2020,"['NASDAQ_EUA_lag_7', 'LondonStock_ReinoUnido_lag_7', 'LondonStock_ReinoUnido_lag_42', 'NYSE_EUA_lag_43', 'BRL_USD_lag_50', 'Ibovespa_BR_lag_7']",0.8576796257936027,0.8571831593719524,25712.359778026064,25750.538765573092,138.60502530872387,0.600228286,359.17415673655603,13.446526917134296,2
2025_03_01,ETH_USD,all_lags_2020,"['NASDAQ_EUA_lag_7', 'LondonStock_ReinoUnido_lag_7', 'LondonStock_ReinoUnido_lag_42', 'NYSE_EUA_lag_43', 'BRL_USD_lag_50', 'Ibovespa_BR_lag_7']",0.8593535781883265,0.8588789558425053,26544.210670415683,26582.62088627518,445.9358661010273,-8.344714893,479.2563402,23.69653847744258,2
2024_12,ETH_USD,all_lags_mms_2020,"['NASDAQ_EUA_lag_7', 'LondonStock_ReinoUnido_MM_30', 'NYSE_EUA_MM_30', 'LondonStock_ReinoUnido_lag_7', 'Ibovespa_BR_lag_7', 'BRL_USD_MM_30']",0.855314085,0.8548001034276778,25243.993774801613,25282.045969516075,7.872234528,0.5493215712542925,443.09647674993437,15.17375894655608,2
2024_06_01,XRP_USD,all_nasdaq_lags_2022,"['NASDAQ_EUA_lag_7', 'NASDAQ_EUA_lag_50']",0.47464251500479804,0.4731992252108552,-1693.453821,-1679.670581,-0.660050688,-0.405840829,1.1391653252958314,83.47830054597198,3
2025_01_01,XRP_USD,all_lags_2022,"['LondonStock_ReinoUnido_lag_7', 'Shanghai_SSE_China_lag_47', 'Euronext_Europa_lag_21']",0.6148404909575321,0.6136125647863021,-146.5364246,-127.1316849,-0.994497133,-9.151740675,1.0280500986015781,40.24567364064002,3
2025_03_01,XRP_USD,all_lags_2022,"['LondonStock_ReinoUnido_lag_7', 'Shenzhen_China_lag_50', 'LondonStock_ReinoUnido_lag_50']",0.8072163855081709,0.8066374557349221,202.4937433221828,222.13674647403056,-0.11944645,-1.287321269,0.261614538,11.195601078704987,3
2024_12,XRP_USD,all_lags_mms_2022,"['LondonStock_ReinoUnido_lag_7', 'CNY_USD_lag_7', 'Shanghai_SSE_China_MM_10', 'Euronext_Europa_lag_21']",0.46642048141535386,0.4640724967351134,-1395.78615,-1371.696997,-1.594642541,-27.19789158,1.622218466629436,64.93982268633532,3
2024_06_01,SOL_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_MM_30'],0.6779405696507337,0.6774987871674014,6929.778618066978,6938.967444986478,5.722297310779462,0.2551325595481152,31.769386131466558,18.524759604892125,4
2025_01_01,SOL_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_lag_7'],0.8322745539500591,0.8320966902745024,8941.665980134503,8951.36835,12.341703084676348,0.2695673908566092,35.47148088153231,19.81767872190787,4
2025_03_01,SOL_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_lag_7'],0.8490779792044547,0.8489272079549087,9520.219175565473,9530.040677141396,36.17971980757255,-10.70021902,38.28867693088214,28.44318178513391,4
2024_12,SOL_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_lag_7'],0.8119765156258472,0.8117703495245597,8649.176931829414,8658.812592972323,5.068560683394185,0.29917183420485705,33.209081429169224,17.73909231246132,4
2024_06_01,BNB_USD,bnb_lags,"['NASDAQ_EUA_lag_7', 'NYSE_EUA_lag_50', 'LondonStock_ReinoUnido_lag_27', 'DAX_Alemanha_lag_50', 'Ibovespa_BR_lag_7']",0.8826253916474162,0.8823798380734568,26739.088465980843,26773.777801736254,5.799388652707697,0.3798997152990973,48.60356440359174,7.988861122381357,5
2025_01_01,BNB_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_MM_30'],0.7039743379349683,0.7036604188871793,11044.436072216611,11054.138442071599,0.152413841,0.070844446,45.03215925957265,6.999947555995507,5
2025_03_01,BNB_USD,all_nasdaq_lags_mms_2022,['NASDAQ_EUA_MM_30'],0.7520914031207808,0.7518437421848375,11676.927446386173,11686.748947962096,27.341242522681235,-3.031221458,52.861102322030966,8.766468977794943,5
2024_12,BNB_USD,bnb_lags,"['NASDAQ_EUA_lag_7', 'NYSE_EUA_lag_50', 'LondonStock_ReinoUnido_lag_23']",0.8807801566412374,0.8806412597363534,29330.13201170501,29353.552639728536,-2.137395225,0.5329106014129554,33.819915948398396,5.138577126429415,5
